total dist. compute T, avg. T per iter
3.803190, 0.760638
2.263241, 0.452648
2.069603, 0.413921
2.344158, 0.468832
2.130668, 0.426134
4.616383, 1.154096
4.862058, 1.215515
2.512118, 0.628030
2.408164, 0.602041
2.664635, 0.666159
2.446126, 0.611532
2.929518, 0.585904
2.717917, 0.679479
2.588312, 0.647078
2.463353, 0.615838
2.534448, 0.633612
2.482326, 0.620581
2.879620, 0.575924
2.466652, 0.616663
3.632337, 0.908084
2.654258, 0.663565
2.571758, 0.642939
2.544352, 0.636088
2.708877, 0.677219
2.543498, 0.635874
2.452295, 0.613074
2.567133, 0.641783
2.639885, 0.659971
2.473543, 0.618386
2.919865, 0.583973
2.993433, 0.598687
2.975329, 0.595066
2.441528, 0.610382
2.473051, 0.618263
3.138350, 0.627670
2.432152, 0.608038
2.451741, 0.612935
2.547779, 0.636945
2.546219, 0.636555
2.410771, 0.602693
2.643641, 0.660910
2.638056, 0.659514
2.811739, 0.702935
2.374047, 0.593512
2.631076, 0.657769
2.633362, 0.658340
2.623339, 0.655835
2.672546, 0.668136
2.915553, 0.728888
2.520825, 0.630206
3.074798, 0.614960
2.695240, 0.673810
2.506656, 0.626664
2.437348, 0.609337
2.621413, 0.655353
2.644129, 0.661032
2.486857, 0.621714
2.411693, 0.602923
2.497273, 0.624318
2.459635, 0.614909
2.585374, 0.646343
3.142728, 0.628546
2.487790, 0.621948
3.041854, 0.608371
2.631921, 0.657980
2.738845, 0.684711
3.188827, 0.637765
2.420644, 0.605161
3.002218, 0.600444
2.853660, 0.713415
2.556731, 0.639183
2.963831, 0.592766
2.926509, 0.585302
2.621436, 0.655359
2.693832, 0.673458
3.025896, 0.605179
2.638436, 0.659609
2.649774, 0.662444
3.058973, 0.611795
2.553513, 0.638378
2.840350, 0.710087
2.899914, 0.724978
2.703909, 0.675977
2.769003, 0.692251
2.638773, 0.659693
2.941928, 0.735482
2.592557, 0.648139
2.422376, 0.605594
2.701568, 0.675392
3.023803, 0.755951
2.972148, 0.594430
2.572304, 0.643076
3.035389, 0.607078
2.688260, 0.672065
2.626705, 0.656676
2.598913, 0.649728
2.874756, 0.718689
