total dist. compute T, avg. T per iter
3.268994, 0.817248
3.803593, 0.760719
3.094210, 0.773552
3.218235, 0.804559
3.238035, 0.809509
3.692956, 0.738591
3.696637, 0.739327
3.254056, 0.813514
3.231423, 0.807856
3.933265, 0.786653
4.076787, 0.815357
3.404381, 0.851095
4.314714, 0.862943
3.926544, 0.785309
3.145345, 0.786336
3.988504, 0.797701
3.122416, 0.780604
3.764270, 0.752854
3.208569, 0.802142
3.200676, 0.800169
3.799589, 0.759918
3.845120, 0.769024
3.104416, 0.776104
3.150791, 0.787698
3.737509, 0.747502
3.671215, 0.734243
3.851285, 0.770257
3.105144, 0.776286
3.747203, 0.749441
3.130798, 0.782699
3.731762, 0.746352
3.791190, 0.758238
3.744753, 0.748951
3.653198, 0.730640
3.072406, 0.768102
3.778382, 0.755676
3.007239, 0.751810
3.750044, 0.750009
3.668243, 0.733649
3.095873, 0.773968
3.702833, 0.740567
3.089157, 0.772289
3.689003, 0.737801
3.120269, 0.780067
3.733570, 0.746714
3.672907, 0.734581
3.710400, 0.742080
3.786895, 0.757379
3.886202, 0.777240
3.997315, 0.799463
3.262206, 0.815551
4.224242, 0.844848
4.130089, 0.826018
4.029632, 0.805926
4.203789, 0.840758
4.252654, 0.850531
3.498056, 0.874514
