[0], iter. T, 0.092336, dist. T, 0.082344, 
[1], iter. T, 0.201368, dist. T, 0.086366, 
[2], iter. T, 0.136473, dist. T, 0.085492, 
[3], iter. T, 0.337304, dist. T, 0.304152, 
[4], iter. T, 1.168368, dist. T, 1.141941, 
[5], iter. T, 0.538301, dist. T, 0.515831, 
[6], iter. T, 0.291653, dist. T, 0.269888, 
[0], iter. T, 0.067420, dist. T, 0.057806, 
[1], iter. T, 0.167943, dist. T, 0.070469, 
[2], iter. T, 0.188497, dist. T, 0.132908, 
[3], iter. T, 0.167886, dist. T, 0.134625, 
[4], iter. T, 0.181751, dist. T, 0.155984, 
[5], iter. T, 0.130638, dist. T, 0.106248, 
[6], iter. T, 0.138767, dist. T, 0.119038, 
[0], iter. T, 0.085864, dist. T, 0.076360, 
[1], iter. T, 0.470449, dist. T, 0.223639, 
[2], iter. T, 0.182776, dist. T, 0.097810, 
[3], iter. T, 0.113831, dist. T, 0.065593, 
[4], iter. T, 0.128221, dist. T, 0.091441, 
[5], iter. T, 0.101899, dist. T, 0.070645, 
[6], iter. T, 0.077736, dist. T, 0.053648, 
[7], iter. T, 0.466764, dist. T, 0.445400, 
[8], iter. T, 0.092957, dist. T, 0.074029, 
[9], iter. T, 0.065602, dist. T, 0.049533, 
[0], iter. T, 0.060028, dist. T, 0.050532, 
[1], iter. T, 0.237114, dist. T, 0.161166, 
[2], iter. T, 0.132669, dist. T, 0.088898, 
[3], iter. T, 0.441188, dist. T, 0.410083, 
[4], iter. T, 0.112284, dist. T, 0.085853, 
[5], iter. T, 0.095387, dist. T, 0.072978, 
[6], iter. T, 0.074646, dist. T, 0.056127, 
[0], iter. T, 0.073465, dist. T, 0.063924, 
[1], iter. T, 0.255572, dist. T, 0.127586, 
[2], iter. T, 0.509009, dist. T, 0.456156, 
[3], iter. T, 0.171736, dist. T, 0.136254, 
[4], iter. T, 0.401236, dist. T, 0.374045, 
[5], iter. T, 0.072313, dist. T, 0.047470, 
[6], iter. T, 0.192927, dist. T, 0.164716, 
[7], iter. T, 0.115605, dist. T, 0.096113, 
[0], iter. T, 0.090114, dist. T, 0.080631, 
[1], iter. T, 0.150694, dist. T, 0.057821, 
[2], iter. T, 0.146055, dist. T, 0.089713, 
[3], iter. T, 0.125514, dist. T, 0.086674, 
[4], iter. T, 0.512023, dist. T, 0.482060, 
[5], iter. T, 0.072135, dist. T, 0.047906, 
[6], iter. T, 0.067065, dist. T, 0.048333, 
[0], iter. T, 0.139653, dist. T, 0.130269, 
[1], iter. T, 0.159368, dist. T, 0.083849, 
[2], iter. T, 0.158588, dist. T, 0.114034, 
[3], iter. T, 0.402184, dist. T, 0.373108, 
