[0], it. T, 0.331838, dist. T, 0.173189
[1], it. T, 1.010696, dist. T, 0.677593
[2], it. T, 0.338970, dist. T, 0.126310
[3], it. T, 0.261451, dist. T, 0.052797
[4], it. T, 0.381654, dist. T, 0.222293
[5], it. T, 0.333209, dist. T, 0.176828
[6], it. T, 0.227272, dist. T, 0.065003
[0], it. T, 0.192929, dist. T, 0.078918
[1], it. T, 0.509888, dist. T, 0.103489
[2], it. T, 0.265217, dist. T, 0.048037
[3], it. T, 0.236443, dist. T, 0.054718
[4], it. T, 0.230664, dist. T, 0.057590
[5], it. T, 0.231965, dist. T, 0.053743
[6], it. T, 0.220339, dist. T, 0.058964
[7], it. T, 0.215212, dist. T, 0.048600
[0], it. T, 0.224905, dist. T, 0.073679
[1], it. T, 0.329462, dist. T, 0.057595
[2], it. T, 0.297124, dist. T, 0.048048
[3], it. T, 0.254112, dist. T, 0.053815
[4], it. T, 0.237825, dist. T, 0.052852
[5], it. T, 0.230710, dist. T, 0.047461
[0], it. T, 0.213900, dist. T, 0.059399
[1], it. T, 0.317311, dist. T, 0.049937
[2], it. T, 0.332140, dist. T, 0.115946
[3], it. T, 0.612522, dist. T, 0.447754
[4], it. T, 0.286723, dist. T, 0.084018
[5], it. T, 0.406531, dist. T, 0.231211
[0], it. T, 0.172711, dist. T, 0.051868
[1], it. T, 0.449356, dist. T, 0.126721
[2], it. T, 0.432165, dist. T, 0.247447
[3], it. T, 0.324807, dist. T, 0.084308
[4], it. T, 0.262246, dist. T, 0.054391
[5], it. T, 0.290218, dist. T, 0.054371
[6], it. T, 0.295974, dist. T, 0.084998
[0], it. T, 0.196315, dist. T, 0.057628
[1], it. T, 0.838320, dist. T, 0.187208
[2], it. T, 0.433269, dist. T, 0.191336
[3], it. T, 0.304017, dist. T, 0.105205
[4], it. T, 0.237538, dist. T, 0.056264
[5], it. T, 0.245180, dist. T, 0.057664
[6], it. T, 0.313258, dist. T, 0.155286
[0], it. T, 0.202119, dist. T, 0.055113
[1], it. T, 0.495594, dist. T, 0.173684
[2], it. T, 0.326584, dist. T, 0.112340
[3], it. T, 0.239712, dist. T, 0.046945
[4], it. T, 0.240682, dist. T, 0.048055
[5], it. T, 0.256412, dist. T, 0.090160
[6], it. T, 0.256384, dist. T, 0.075392
[0], it. T, 0.193005, dist. T, 0.057105
[1], it. T, 0.301858, dist. T, 0.047088
[2], it. T, 0.307186, dist. T, 0.086234
[3], it. T, 0.276055, dist. T, 0.077654
[4], it. T, 0.292597, dist. T, 0.113618
[5], it. T, 0.225987, dist. T, 0.048068
[6], it. T, 0.233772, dist. T, 0.049928
[0], it. T, 0.186569, dist. T, 0.050944
[1], it. T, 0.302734, dist. T, 0.053120
[2], it. T, 0.289612, dist. T, 0.077334
[3], it. T, 0.248556, dist. T, 0.058076
[4], it. T, 0.319856, dist. T, 0.122967
[5], it. T, 0.261668, dist. T, 0.065741
[6], it. T, 0.285237, dist. T, 0.080220
[0], it. T, 0.208935, dist. T, 0.057785
[1], it. T, 0.673507, dist. T, 0.389876
[2], it. T, 0.308445, dist. T, 0.079057
[3], it. T, 0.266910, dist. T, 0.053766
[4], it. T, 0.315132, dist. T, 0.123970
[5], it. T, 0.480104, dist. T, 0.324612
[6], it. T, 0.223035, dist. T, 0.051099
[0], it. T, 0.218073, dist. T, 0.089293
[1], it. T, 0.968087, dist. T, 0.474519
[2], it. T, 0.297524, dist. T, 0.048033
[3], it. T, 0.257920, dist. T, 0.060220
[4], it. T, 0.243425, dist. T, 0.051106
[5], it. T, 0.913511, dist. T, 0.738603
[6], it. T, 0.731890, dist. T, 0.586931
[0], it. T, 1.821351, dist. T, 1.692370
[1], it. T, 0.818113, dist. T, 0.558532
[2], it. T, 0.395202, dist. T, 0.156220
[3], it. T, 0.261723, dist. T, 0.061456
[4], it. T, 0.434222, dist. T, 0.054114
[5], it. T, 0.270866, dist. T, 0.067323
[6], it. T, 0.241493, dist. T, 0.075662
[0], it. T, 0.199478, dist. T, 0.057221
[1], it. T, 0.313546, dist. T, 0.059419
[2], it. T, 0.279229, dist. T, 0.069545
[3], it. T, 0.273283, dist. T, 0.079235
[4], it. T, 0.250986, dist. T, 0.066848
[5], it. T, 0.242037, dist. T, 0.050736
[0], it. T, 0.250195, dist. T, 0.096056
[1], it. T, 0.338599, dist. T, 0.062307
[2], it. T, 0.257470, dist. T, 0.050113
[3], it. T, 0.311944, dist. T, 0.132269
[4], it. T, 0.252452, dist. T, 0.069863
[5], it. T, 0.268073, dist. T, 0.049408
[6], it. T, 0.254809, dist. T, 0.055139
[0], it. T, 0.217216, dist. T, 0.055277
[1], it. T, 0.540219, dist. T, 0.199694
[2], it. T, 0.332546, dist. T, 0.112590
[3], it. T, 0.354140, dist. T, 0.107908
[4], it. T, 0.320385, dist. T, 0.118226
[5], it. T, 0.434050, dist. T, 0.255341
[6], it. T, 0.235333, dist. T, 0.050030
[0], it. T, 0.231702, dist. T, 0.060323
[1], it. T, 0.579009, dist. T, 0.260581
[2], it. T, 0.316048, dist. T, 0.059060
[3], it. T, 0.441469, dist. T, 0.239290
[4], it. T, 0.368335, dist. T, 0.130416
[5], it. T, 0.250511, dist. T, 0.061974
[0], it. T, 0.216805, dist. T, 0.072515
[1], it. T, 0.342378, dist. T, 0.079747
[2], it. T, 0.289235, dist. T, 0.081821
[3], it. T, 0.290817, dist. T, 0.052073
[4], it. T, 0.533640, dist. T, 0.377554
[5], it. T, 0.443218, dist. T, 0.291309
[0], it. T, 0.202760, dist. T, 0.075162
[1], it. T, 0.797816, dist. T, 0.392068
[2], it. T, 0.569190, dist. T, 0.371426
[3], it. T, 0.270160, dist. T, 0.047213
[4], it. T, 0.232418, dist. T, 0.046176
[5], it. T, 0.254773, dist. T, 0.090366
[6], it. T, 0.494274, dist. T, 0.331940
